Date	Local	Day	4:00	5:00	6:00	7:00	8:00	9:00	10:00	11:00	12:00	13:00	14:00	15:00	16:00	17:00	18:00	19:00	20:00	21:00	22:00	23:00	0:00	1:00	2:00	3:00
18/01/2024	Unidade Avançada Carlos Chagas	Quinta-feira	6	4	18	27	54	74	74	80	79	69	61	83	82	56	55	54	55	38	40	29	16	16	8	7
19/01/2024	Unidade Avançada Carlos Chagas	Sexta-feira	11	15	13	24	81	100	84	94	69	54	73	54	69	67	42	41	35	25	28	31	23	11	2	11
20/01/2024	Unidade Avançada Carlos Chagas	Sábado	5	1	10	10	30	43	41	35	40	44	31	46	35	30	6	35	35	38	19	15	19	13	14	11
21/01/2024	Unidade Avançada Carlos Chagas	Domingo	10	5	4	13	21	23	18	26	24	12	32	33	22	17	28	32	1	40	39	32	10	4	10	16
22/01/2024	Unidade Avançada Carlos Chagas	Segunda-feira	4	2	11	30	62	87	83	83	68	81	100	100	100	100	97	74	62	36	54	55	36	19	20	17
23/01/2024	Unidade Avançada Carlos Chagas	Terça-feira	1	12	10	35	72	100	100	100	88	100	100	100	85	97	86	85	74	56	30	33	21	14	15	6
24/01/2024	Unidade Avançada Carlos Chagas	Quarta-feira	1	9	13	38	69	84	94	100	100	82	86	86	97	82	69	74	57	53	29	16	14	23	16	25
25/01/2024	Unidade Avançada Carlos Chagas	Quinta-feira	9	4	17	26	56	100	96	100	100	83	96	100	100	87	59	94	63	57	39	21	19	17	18	13
26/01/2024	Unidade Avançada Carlos Chagas	Sexta-feira	11	3	15	44	43	90	96	100	61	91	85	93	83	81	76	76	59	54	64	47	18	14	9	3
27/01/2024	Unidade Avançada Carlos Chagas	Sábado	0	12	6	24	29	32	46	51	39	46	48	47	61	2	49	50	48	36	28	25	33	33	18	3
28/01/2024	Unidade Avançada Carlos Chagas	Domingo	6	7	9	20	31	14	29	20	34	37	42	37	31	30	29	23	21	39	24	23	15	22	18	12
29/01/2024	Unidade Avançada Carlos Chagas	Segunda-feira	5	12	10	48	69	97	100	100	100	87	74	100	90	75	81	51	48	52	44	34	30	20	6	15
30/01/2024	Unidade Avançada Carlos Chagas	Terça-feira	25	20	19	33	71	100	100	100	100	83	100	100	100	74	76	76	68	52	77	72	68	30	23	12
31/01/2024	Unidade Avançada Carlos Chagas	Quarta-feira	10	16	21	34	62	13	5	100	100	1	1	100	0	83	58	62	51	43	71	52	43	26	14	0
01/02/2024	Unidade Avançada Carlos Chagas	Quinta-feira	6	19	12	26	15	100	100	0	0	0	100	100	100	100	80	74	62	62	48	42	37	32	19	9
02/02/2024	Unidade Avançada Carlos Chagas	Sexta-feira	8	15	7	36	75	100	1	92	0	65	84	100	100	100	62	77	62	53	54	52	0	NA	33	23
03/02/2024	Unidade Avançada Carlos Chagas	Sábado	17	9	13	16	15	59	58	66	66	45	44	36	34	50	59	51	35	29	39	37	36	21	10	7
04/02/2024	Unidade Avançada Carlos Chagas	Domingo	16	4	14	1	19	27	27	30	29	39	19	31	31	37	13	41	43	56	3	53	29	25	24	30
05/02/2024	Unidade Avançada Carlos Chagas	Segunda-feira	12	10	16	40	68	100	99	99	100	95	86	100	100	95	96	82	72	97	66	62	30	37	33	21
06/02/2024	Unidade Avançada Carlos Chagas	Terça-feira	19	23	28	26	66	100	100	100	100	100	1	91	100	100	99	69	72	73	73	46	40	37	19	20
07/02/2024	Unidade Avançada Carlos Chagas	Quarta-feira	1	19	15	41	74	100	100	100	100	100	100	100	100	85	82	50	42	49	48	37	38	27	0	15
08/02/2024	Unidade Avançada Carlos Chagas	Quinta-feira	21	3	25	30	73	85	100	0	0	1	0	0	0	0	3	69	2	81	51	46	34	19	10	12
09/02/2024	Unidade Avançada Carlos Chagas	Sexta-feira	10	13	21	57	88	100	100	100	87	93	81	100	96	94	36	53	68	0	0	52	33	40	25	5
10/02/2024	Unidade Avançada Carlos Chagas	Sábado	11	1	7	27	37	4	61	43	5	49	53	53	52	50	48	62	59	55	39	16	24	0	22	25
11/02/2024	Unidade Avançada Carlos Chagas	Domingo	0	6	4	4	3	20	3	36	15	21	37	33	34	49	30	38	36	28	43	42	38	39	33	34
12/02/2024	Unidade Avançada Carlos Chagas	Segunda-feira	0	14	19	10	35	32	1	NA	59	62	52	56	72	68	65	54	50	50	48	46	43	14	17	13
13/02/2024	Unidade Avançada Carlos Chagas	Terça-feira	16	19	16	36	38	37	61	49	8	2	2	0	35	0	0	50	71	72	5	43	0	15	5	12
14/02/2024	Unidade Avançada Carlos Chagas	Quarta-feira	12	14	8	9	56	91	56	94	0	95	78	0	0	0	100	74	60	2	61	60	51	27	17	7
15/02/2024	Unidade Avançada Carlos Chagas	Quinta-feira	18	20	22	34	13	4	100	85	100	94	100	100	100	100	85	73	82	84	87	82	48	30	13	14
16/02/2024	Unidade Avançada Carlos Chagas	Sexta-feira	17	12	11	38	82	6	100	100	100	96	100	100	91	100	100	74	26	79	70	56	51	38	20	11
17/02/2024	Unidade Avançada Carlos Chagas	Sábado	3	1	3	24	28	51	55	89	70	52	46	68	61	62	78	71	55	62	54	54	42	35	13	26
18/02/2024	Unidade Avançada Carlos Chagas	Domingo	0	14	17	12	24	27	38	40	38	50	49	65	53	41	15	36	45	45	48	42	25	25	26	10
19/02/2024	Unidade Avançada Carlos Chagas	Segunda-feira	9	7	11	24	75	71	1	100	73	100	100	100	100	100	80	51	60	60	51	48	29	18	12	11
20/02/2024	Unidade Avançada Carlos Chagas	Terça-feira	13	17	19	36	68	91	100	87	97	75	3	4	100	93	61	63	49	49	39	31	29	23	17	18
21/02/2024	Unidade Avançada Carlos Chagas	Quarta-feira	7	11	12	16	29	68	80	84	88	66	4	0	0	0	46	59	50	67	45	34	28	20	11	0
22/02/2024	Unidade Avançada Carlos Chagas	Quinta-feira	11	6	11	17	49	69	75	76	90	49	81	43	3	78	0	36	53	49	33	34	24	16	14	10
23/02/2024	Unidade Avançada Carlos Chagas	Sexta-feira	7	12	21	39	56	72	34	82	60	64	31	13	75	74	74	44	24	46	27	39	28	9	10	10
24/02/2024	Unidade Avançada Carlos Chagas	Sábado	1	7	7	9	5	37	42	40	39	48	47	47	35	26	34	39	40	48	29	35	9	15	16	0
25/02/2024	Unidade Avançada Carlos Chagas	Domingo	3	8	11	8	20	19	25	6	31	0	40	0	38	51	55	53	42	42	48	37	26	23	24	13
26/02/2024	Unidade Avançada Carlos Chagas	Segunda-feira	6	12	15	28	48	26	96	0	100	100	100	100	98	0	99	79	63	59	55	53	44	16	13	12
27/02/2024	Unidade Avançada Carlos Chagas	Terça-feira	9	16	21	28	59	83	1	0	0	80	70	81	63	62	62	76	76	62	62	60	35	33	21	13
28/02/2024	Unidade Avançada Carlos Chagas	Quarta-feira	11	3	11	19	70	88	100	100	91	79	72	90	100	80	57	55	78	72	66	52	44	17	22	6
29/02/2024	Unidade Avançada Carlos Chagas	Quinta-feira	11	13	18	28	63	87	94	100	100	80	27	81	66	68	48	66	73	57	58	50	36	0	13	0
01/03/2024	Unidade Avançada Carlos Chagas	Sexta-feira	9	11	8	37	61	81	90	82	77	59	67	1	0	75	61	46	42	52	36	30	21	0	3	5
02/03/2024	Unidade Avançada Carlos Chagas	Sábado	5	1	3	4	22	29	50	54	59	0	0	6	42	38	53	0	50	50	39	34	29	26	18	6
03/03/2024	Unidade Avançada Carlos Chagas	Domingo	7	10	14	11	18	23	36	41	48	47	15	46	48	5	38	54	28	28	20	43	27	20	17	9
04/03/2024	Unidade Avançada Carlos Chagas	Segunda-feira	9	4	14	34	60	73	87	87	90	85	1	98	97	0	70	64	59	97	73	55	31	19	21	14
05/03/2024	Unidade Avançada Carlos Chagas	Terça-feira	16	15	24	31	61	8	100	0	88	1	76	75	86	84	0	NA	64	64	51	49	25	37	13	14
06/03/2024	Unidade Avançada Carlos Chagas	Quarta-feira	1	7	16	24	57	93	2	100	100	85	80	95	73	65	70	54	41	50	45	39	21	27	22	12
07/03/2024	Unidade Avançada Carlos Chagas	Quinta-feira	0	12	11	27	70	86	93	93	0	94	100	100	25	0	56	59	45	38	40	40	22	15	4	11
08/03/2024	Unidade Avançada Carlos Chagas	Sexta-feira	7	10	13	29	10	100	40	86	66	72	0	72	80	78	64	22	44	48	44	41	34	18	22	21
09/03/2024	Unidade Avançada Carlos Chagas	Sábado	8	11	5	22	41	10	51	49	51	55	48	54	52	49	44	37	48	53	44	32	16	18	15	16
