	UPA Vila Assis	UPA PEDREIRA - Dr. César Antunes da Rocha	Unidade de Pronto Atendimento - UPA Zaíra	AMA 24h Capão Redondo	UPA Rudge Ramos	UPA St. John - Lavras	UPA VICENTE MISSIANO	UPA Sacadura Cabral	UPA Vila Mariana	Unidade de Pronto Atendimento Akira Tada	UPA - Pauliceia Taboão	Unidade Avançada Carlos Chagas	AMA SOROCABANA -PRONTO ATENDIMENTO	UPA Paulista - Unidade de Pronto Atendimento	UPA Vergueiro	UPA Tito Lopes	UPA Vila Santa Catarina
2023-09-15	58.416666666666664	67.20833333333333	60.708333333333336	71.20833333333333	44.541666666666664	73.70833333333333	70.33333333333333	53.875	63.25	53.291666666666664	37.333333333333336	44.916666666666664	61.583333333333336	72.5	53.583333333333336	53.25	73.41666666666667
2023-09-16	42.708333333333336	54.5	43.416666666666664	55.583333333333336	30.333333333333332	47.708333333333336	43.416666666666664	39.541666666666664	40.458333333333336	40.0	32.291666666666664	23.708333333333332	43.416666666666664	53.541666666666664	37.916666666666664	43.5	58.291666666666664
2023-09-17	26.333333333333332	15.75	19.26086956521739	18.333333333333332	12.5	16.041666666666668	17.916666666666668	9.041666666666666	10.772727272727273	9.875	7.791666666666667	5.208333333333333	4.083333333333333	12.652173913043478	12.583333333333334	15.0	20.625
2023-09-18	31.666666666666668	48.083333333333336	32.083333333333336	45.208333333333336	27.791666666666668	45.166666666666664	44.791666666666664	36.125	36.333333333333336	44.375	25.5	32.166666666666664	37.625	52.3	33.333333333333336	52.666666666666664	43.041666666666664
2023-09-19	61.25	65.33333333333333	57.791666666666664	75.83333333333333	47.25	72.25	53.5	60.083333333333336	64.70833333333333	69.45833333333333	48.791666666666664	52.416666666666664	60.125	74.04166666666667	69.08333333333333	64.625	67.41666666666667
2023-09-20	54.625	60.916666666666664	54.5	71.375	49.291666666666664	68.54166666666667	74.20833333333333	49.083333333333336	61.083333333333336	62.541666666666664	43.291666666666664	45.791666666666664	57.166666666666664	68.34782608695652	63.541666666666664	64.95833333333333	70.04166666666667
2023-09-21	54.458333333333336	72.75	56.541666666666664	76.33333333333333	50.125	70.04166666666667	60.958333333333336	47.958333333333336	65.625	58.708333333333336	50.75	53.166666666666664	55.708333333333336	71.66666666666667	58.375	71.29166666666667	73.70833333333333
2023-09-22	49.916666666666664	65.41666666666667	50.958333333333336	73.04166666666667	43.875	70.625	65.58333333333333	51.25	59.5	62.333333333333336	44.25	47.25	56.333333333333336	65.95833333333333	59.041666666666664	63.708333333333336	66.625
2023-09-23	44.166666666666664	62.166666666666664	67.29166666666667	70.95833333333333	42.833333333333336	60.125	60.791666666666664	45.0	49.25	43.166666666666664	32.375	27.5	46.916666666666664	57.625	45.125	53.833333333333336	52.625
2023-09-24	49.583333333333336	43.541666666666664	44.791666666666664	47.458333333333336	31.708333333333332	57.5	49.791666666666664	40.333333333333336	36.375	36.791666666666664	26.291666666666668	18.958333333333332	26.166666666666668	48.291666666666664	35.833333333333336	51.083333333333336	57.708333333333336
2023-09-25	51.5	72.0	57.25	77.20833333333333	53.833333333333336	75.54166666666667	56.875	53.083333333333336	61.416666666666664	68.29166666666667	47.833333333333336	51.833333333333336	52.416666666666664	70.95833333333333	63.083333333333336	71.58333333333333	69.29166666666667
2023-09-26	47.5	66.33333333333333	57.666666666666664	79.91666666666667	50.208333333333336	71.66666666666667	65.04166666666667	57.583333333333336	67.875	71.25	60.625	58.0	60.0	69.66666666666667	63.666666666666664	73.20833333333333	65.52173913043478
2023-09-27	48.875	48.166666666666664	48.708333333333336	62.708333333333336	45.0	69.20833333333333	48.583333333333336	55.375	54.041666666666664	57.791666666666664	48.875	44.0	51.916666666666664	56.833333333333336	59.041666666666664	58.75	54.708333333333336
2023-09-28	38.416666666666664	43.583333333333336	34.583333333333336	47.625	39.541666666666664	54.25	67.41666666666667	51.875	42.541666666666664	53.583333333333336	36.0	42.416666666666664	50.333333333333336	55.25	53.166666666666664	55.375	51.25
2023-09-29	44.666666666666664	45.166666666666664	41.833333333333336	49.5	39.75	58.875	57.625	54.041666666666664	47.708333333333336	53.041666666666664	33.541666666666664	45.0	51.208333333333336	53.333333333333336	41.958333333333336	54.208333333333336	42.708333333333336
2023-09-30	39.458333333333336	37.125	45.208333333333336	44.666666666666664	37.708333333333336	47.583333333333336	67.08333333333333	44.166666666666664	32.5	44.666666666666664	34.5	30.833333333333332	34.208333333333336	42.208333333333336	32.541666666666664	52.625	42.5
2023-10-01	37.916666666666664	18.791666666666668	29.0	28.5	28.5	39.208333333333336	40.291666666666664	38.166666666666664	23.958333333333332	32.625	17.782608695652176	22.416666666666668	15.625	37.708333333333336	34.291666666666664	38.583333333333336	31.75
2023-10-02	38.041666666666664	39.416666666666664	38.375	46.25	45.416666666666664	48.916666666666664	52.833333333333336	49.791666666666664	48.166666666666664	61.083333333333336	50.125	53.0	38.583333333333336	52.75	48.25	64.54166666666667	49.25
2023-10-03	35.5	39.125	38.916666666666664	41.958333333333336	41.083333333333336	49.208333333333336	40.791666666666664	45.333333333333336	45.083333333333336	57.375	45.083333333333336	53.791666666666664	36.291666666666664	45.208333333333336	42.625	51.666666666666664	40.75
2023-10-04	32.791666666666664	34.458333333333336	30.625	39.416666666666664	38.458333333333336	53.166666666666664	69.33333333333333	45.875	46.791666666666664	58.541666666666664	36.833333333333336	49.333333333333336	38.25	50.083333333333336	53.625	53.0	47.875
