	UPA Vila Assis	UPA PEDREIRA - Dr. César Antunes da Rocha	Unidade de Pronto Atendimento - UPA Zaíra	AMA 24h Capão Redondo	UPA Rudge Ramos	UPA St. John - Lavras	UPA VICENTE MISSIANO	UPA Sacadura Cabral	UPA Vila Mariana	Unidade de Pronto Atendimento Akira Tada	UPA - Pauliceia Taboão	Unidade Avançada Carlos Chagas	AMA SOROCABANA -PRONTO ATENDIMENTO	UPA Paulista - Unidade de Pronto Atendimento	UPA Vergueiro	UPA Tito Lopes	UPA Vila Santa Catarina
2024-01-20	50.69642857142857	47.26190476190476	39.714285714285715	46.67857142857143	50.101190476190474	48.11309523809524	45.595238095238095	49.25	47.095238095238095	47.25595238095237	49.267857142857146	40.75595238095237	44.511904761904766	56.386904761904766	65.06547619047619	55.952380952380956	49.642857142857146
2024-01-27	50.01190476190476	48.75	38.607142857142854	47.36309523809524	49.5	48.75595238095239	53.482142857142854	50.642857142857146	50.017857142857146	44.285714285714285	48.0	47.892857142857146	46.375	55.535714285714285	80.17261904761905	57.523809523809526	48.69642857142857
2024-02-03	45.13690476190476	44.55357142857143	40.25595238095239	45.11904761904761	50.470238095238095	49.25595238095239	52.125	47.13690476190476	51.25698757763975	48.797619047619044	42.50595238095239	45.905538302277435	39.95833333333333	53.11904761904761	77.02976190476191	53.95833333333333	49.92261904761905
2024-02-10	43.625	45.56547619047619	38.91614906832298	53.94047619047619	54.98809523809524	69.19047619047619	42.62758799171843	50.529761904761905	50.55952380952381	49.86723602484472	44.964285714285715	47.63095238095239	42.105442176870746	52.33333333333333	79.01870748299321	57.51371635610766	48.095238095238095
2024-02-17	42.90269151138716	43.523809523809526	37.305900621118006	45.745670995671	48.970238095238095	67.29761904761905	35.06547619047619	48.017857142857146	44.04296066252588	40.047619047619044	45.66174948240166	42.721790890269155	37.845238095238095	52.779761904761905	72.3961038961039	52.404761904761905	44.61904761904761
2024-02-24	45.666031432335785	45.61904761904761	40.077380952380956	57.25	58.69047619047619	58.172619047619044	26.261904761904763	59.07142857142857	45.904761904761905	56.00672877846791	47.13690476190476	39.38095238095239	45.45729813664597	59.226190476190474	59.93452380952381	58.034090909090914	52.57142857142857
2024-03-02	52.34239130434782	50.160714285714285	39.40864389233955	53.49404761904761	58.035714285714285	56.11904761904763	29.351190476190478	54.32142857142857	44.19642857142857	52.56547619047619	48.5370082815735	42.32142857142857	45.029761904761905	57.54166666666667	54.422619047619044	54.45833333333333	52.86309523809524
2024-03-09	51.740165631469985	50.827380952380956	48.24404761904761	55.922619047619044	55.21894409937888	39.28778467908903	25.607142857142858	48.851190476190474	47.285714285714285	53.785714285714285	50.279761904761905	41.605331262939956	48.925000000000004	55.267857142857146	47.279761904761905	61.529761904761905	50.982142857142854
2024-03-16	58.262610577827964	45.49404761904761	52.30124223602485	56.5	55.904761904761905	37.49404761904761	36.19642857142857	52.404761904761905	49.05150103519669	53.75	53.163265306122454	47.94047619047619	53.783126293995856	57.714285714285715	52.55952380952381	64.05357142857143	53.17857142857143
2024-03-23	61.148809523809526	51.220238095238095	50.5	59.99404761904763	56.75	38.66666666666667	34.297619047619044	52.904761904761905	50.089285714285715	52.36309523809524	55.00595238095237	54.517857142857146	49.80357142857143	62.55952380952381	56.11904761904763	67.01319875776397	59.63582251082251
2024-03-30	52.70183982683983	44.61309523809524	48.797619047619044	50.79166666666667	47.29166666666667	48.25	31.505952380952383	44.47412008281573	43.75595238095239	46.625	47.1845238095238	40.714285714285715	43.98809523809524	50.011904761904766	50.137445887445885	59.65683229813664	46.57375776397515
2024-04-06	53.38095238095239	42.98809523809524	51.61309523809524	54.589285714285715	48.93452380952381	54.035714285714285	38.142857142857146	52.06547619047619	49.648809523809526	48.797619047619044	47.61904761904763	50.476190476190474	51.50595238095239	52.26190476190476	47.220238095238095	59.69642857142857	49.48809523809524
2024-04-13	51.648809523809526	43.9345238095238	46.63095238095239	50.642857142857146	51.416666666666664	53.244306418219466	36.75	51.642857142857146	49.44642857142857	48.99741200828157	49.25077639751553	50.625	54.13095238095239	53.44642857142857	48.767857142857146	54.80357142857143	51.3610248447205
2024-04-20	47.589285714285715	40.45833333333333	48.5	52.69642857142857	51.18452380952381	55.43452380952381	36.220238095238095	56.476190476190474	47.322722567287784	47.61309523809524	49.648809523809526	42.601190476190474	54.94642857142857	54.220238095238095	50.61904761904761	57.16666666666667	47.33333333333333
2024-04-27	50.160714285714285	45.095238095238095	48.422619047619044	55.55952380952381	55.702380952380956	62.089285714285715	35.125	58.226190476190474	56.94047619047619	49.523809523809526	50.20833333333333	41.482142857142854	56.56547619047619	55.702380952380956	54.851190476190474	57.797619047619044	51.470238095238095
